Name	Shortcut	Prefix	Defined By
Insert bold text	"Ctrl+b <br>
Cmd + b (mac)"	bold	Visual Studio Code
Insert code	Ctrl+m Ctrl+c	code	Visual Studio Code
Insert fenced code block	Ctrl+m Ctrl+q	fenced codeblock	Visual Studio Code
Insert heading	Ctrl+m Ctrl+f	heading	Visual Studio Code
Insert heading level 1	Ctrl+m Ctrl+1	heading1	Markdown Snippets Extension
Insert heading level 2	Ctrl+m Ctrl+2	heading2	Markdown Snippets Extension
Insert heading level 3	Ctrl+m Ctrl+3	heading3	Markdown Snippets Extension
Insert heading level 4	Ctrl+m Ctrl+4	heading4	Markdown Snippets Extension
Insert heading level 5	Ctrl+m Ctrl+5	heading5	Markdown Snippets Extension
Insert heading level 6	Ctrl+m Ctrl+6	heading6	Markdown Snippets Extension
Insert horizontal rule	Ctrl+m Ctrl+h	horizontal rule	Visual Studio Code
Insert image	Ctrl+m Ctrl+i	image	Visual Studio Code
Insert italic text	"Ctrl+I <br>
Cmd +i (mac)"	italic	Visual Studio Code
Insert link	Ctrl+m Ctrl+l	link	Visual Studio Code
Insert ordered list	Ctrl+m Ctrl+o	ordered list	Visual Studio Code
Insert quoted text	Ctrl+m Ctrl+q	quote	Visual Studio Code
Insert strikethrough	Ctrl+m Ctrl+s	strikethrough	Markdown Snippets Extension
Insert table	Ctrl+m Ctrl+t	table	Markdown Snippets Extension
Insert task list	Ctrl+m Ctrl+x	task list	Markdown Snippets Extension
Insert unordered list	Ctrl+m Ctrl+u	unordered list	Visual Studio Code
